group,position,team_code,team,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,win_percentage
A,1,MEX,Mexico,2,2,0,0,3,0,3,6,100.0
A,2,KOR,Korea Republic,2,1,0,1,2,2,0,3,50.0
A,3,CZE,Czechia,2,0,1,1,2,3,-1,1,0.0
A,4,RSA,South Africa,2,0,1,1,1,3,-2,1,0.0
B,1,CAN,Canada,2,1,1,0,7,1,6,4,50.0
B,2,SUI,Switzerland,2,1,1,0,5,2,3,4,50.0
B,3,BIH,Bosnia and Herzegovina,2,0,1,1,2,5,-3,1,0.0
B,4,QAT,Qatar,2,0,1,1,1,7,-6,1,0.0
C,1,SCO,Scotland,1,1,0,0,1,0,1,3,100.0
C,2,BRA,Brazil,1,0,1,0,1,1,0,1,0.0
C,3,MAR,Morocco,1,0,1,0,1,1,0,1,0.0
C,4,HTI,Haiti,1,0,0,1,0,1,-1,0,0.0
D,1,USA,United States,2,2,0,0,6,1,5,6,100.0
D,2,AUS,Australia,2,1,0,1,2,2,0,3,50.0
D,3,TUR,Türkiye,1,0,0,1,0,2,-2,0,0.0
D,4,PAR,Paraguay,1,0,0,1,1,4,-3,0,0.0
E,1,GER,Germany,1,1,0,0,7,1,6,3,100.0
E,2,CIV,Côte d'Ivoire,1,1,0,0,1,0,1,3,100.0
E,3,ECU,Ecuador,1,0,0,1,0,1,-1,0,0.0
E,4,CUW,Curaçao,1,0,0,1,1,7,-6,0,0.0
F,1,SWE,Sweden,1,1,0,0,5,1,4,3,100.0
F,2,JPN,Japan,1,0,1,0,2,2,0,1,0.0
F,3,NED,Netherlands,1,0,1,0,2,2,0,1,0.0
F,4,TUN,Tunisia,1,0,0,1,1,5,-4,0,0.0
G,1,IRN,IR Iran,1,0,1,0,2,2,0,1,0.0
G,2,NZL,New Zealand,1,0,1,0,2,2,0,1,0.0
G,3,BEL,Belgium,1,0,1,0,1,1,0,1,0.0
G,4,EGY,Egypt,1,0,1,0,1,1,0,1,0.0
H,1,KSA,Saudi Arabia,1,0,1,0,1,1,0,1,0.0
H,2,URU,Uruguay,1,0,1,0,1,1,0,1,0.0
H,3,CPV,Cabo Verde,1,0,1,0,0,0,0,1,0.0
H,4,ESP,Spain,1,0,1,0,0,0,0,1,0.0
I,1,NOR,Norway,1,1,0,0,4,1,3,3,100.0
I,2,FRA,France,1,1,0,0,3,1,2,3,100.0
I,3,SEN,Senegal,1,0,0,1,1,3,-2,0,0.0
I,4,IRQ,Iraq,1,0,0,1,1,4,-3,0,0.0
J,1,ARG,Argentina,1,1,0,0,3,0,3,3,100.0
J,2,AUT,Austria,1,1,0,0,3,1,2,3,100.0
J,3,JOR,Jordan,1,0,0,1,1,3,-2,0,0.0
J,4,ALG,Algeria,1,0,0,1,0,3,-3,0,0.0
K,1,COL,Colombia,1,1,0,0,3,1,2,3,100.0
K,2,COD,DR Congo,1,0,1,0,1,1,0,1,0.0
K,3,POR,Portugal,1,0,1,0,1,1,0,1,0.0
K,4,UZB,Uzbekistan,1,0,0,1,1,3,-2,0,0.0
L,1,ENG,England,1,1,0,0,4,2,2,3,100.0
L,2,GHA,Ghana,1,1,0,0,1,0,1,3,100.0
L,3,PAN,Panama,1,0,0,1,0,1,-1,0,0.0
L,4,CRO,Croatia,1,0,0,1,2,4,-2,0,0.0
